question,answer
"A pair of values in an array are called consecutive if they are different and, after sorting, they appear in adjacent positions in the array.  

Given an array of natural numbers of size \( n \), propose an algorithm (with the best worst-case complexity) that checks whether there exists a pair of consecutive values whose total occurrences together are at least \( \left\lceil \frac{n}{2} \right\rceil \) 
(that is, the number of times a certain value appears plus the number of times its consecutive value appears is at least \( \left\lceil \frac{n}{2} \right\rceil \).","It is possible to solve in \( O(n) \) worst case in several ways based on order statistics.  
For example, a solution based on the following principles (without detailing technical specifics):  

- Finding the median – \( O(n) \) (denoted as \( M \))  
- Finding the smallest element greater than the median (\( H \)) (if it exists) – \( O(n) \)  
- Finding the largest element smaller than the median (\( L \)) (if it exists) – \( O(n) \)  
- Counting occurrences of \( M \), \( L \), and \( H \) – \( O(n) \)  

If the total occurrences of \( M \) and \( H \), or of \( M \) and \( L \), satisfy the condition, the answer is positive. Otherwise, it is negative.  "
"Given an array \( A \) containing \( n \) integers.  
Given a number \( x \) that appears in \( A \), we define the multiplicity of \( x \) in array \( A \) as the number of times \( x \) appears in \( A \).  
We want to create a sorted array \( B \) of size \( n \), which will contain the multiplicity of each number appearing in \( A \).  

Propose an algorithm that solves the problem with the best expected time complexity.  ","**Algorithm Description:**  

Insert the elements of the set into a hash table of size \( n \).  
Duplicate values will be tracked using a counter (i.e., during insertion, we traverse the list in the corresponding bucket, and only if the value is not found, we add a new element to the list with an initialized counter set to one).  
After inserting all elements, we traverse the table and extract all multiplicities.  
Since all values are integers in the range \( 1 \) to \( n \), they can be sorted using CountSort.  

**Time Complexity Proof:**  

- Insertion into the hash table – total expected (average) \( O(n) \)  
- Extracting multiplicities from the table – \( O(n) \)  
- CountSort – \( O(n) \)  

**Total expected complexity: \( O(n) \)**  "
"Given two arrays \( A \) and \( B \), each of size \( n \), we want to create a third array \( C \) of size \( n \), with the following property:  
The value stored in \( C[i] \) is the number of elements in \( A \) that are smaller than \( B[i] \).  

Describe an algorithm with the best worst-case time complexity to solve this problem.","**Algorithm Description:**  

Sort \( A \) using HeapSort.  
For each element in \( B \), find how many elements are smaller than it using binary search in \( O(\log n) \).  

It is very important: If there are elements in \( A \) that appear more than once, a regular binary search will not work. Therefore, for each sampled value, if the sampled value equals the value we are searching for, the algorithm will not stop. Instead, it will recursively search the left half (which contains the smaller elements).  

**Time Complexity Proof:**  

- Sorting: \( O(n \log n) \)  
- \( n \) binary searches: \( O(n \log n) \)  

**Total: \( O(n \log n) \)**  "
"Given \( n \) distinct and sorted keys, describe an efficient data structure that maintains these keys (assume the structure is already built, so the cost of building it is not important) and supports the operation \( \text{find\_delete(key)} \), which receives a key and returns false if the key is not in the structure. If the key is in the structure, the operation returns true and removes it from the structure.  

Required cost: \( O(\log n) \) for the \( \text{find\_delete(key)} \) operation.","**Data Structure Description:**  
A balanced search tree.  

**Time Complexity of the Operation – Explanation:**  
Finding an element in the tree, as well as deleting it, both take \( O(\log n) \) time."
"Describe an algorithm that solves the following problem:  
Given a set \( S \) of \( n \) numbers, the algorithm builds a data structure in \( O(n) \) worst-case time that supports only the \( \text{find} \) operation, such that:  
The worst-case time for \( \text{find} \) is \( O(n) \), but for at least \( \frac{n}{\log n} \) of the elements, the running time of \( \text{find} \) is \( O(\log n) \).  
Note that the structure is not dynamic, meaning it does not need to support insert or delete operations.","**Algorithm Description and Correctness Proof:**  

Take \( \frac{n}{\log n} \) elements and insert them into a balanced search tree (e.g., 2-3 tree) or a sorted array. The total cost is \( O(n) \). The remaining elements are inserted into a list.

During the execution of \( \text{find} \), first search in the tree, and then in the list. The search cost for each element in the tree is \( O(\log n) \), while for the remaining elements, it is \( O(n) \)."
"We want the most efficient algorithm possible for the following problem:

**Input:** \( n \) segments on the line (i.e., \( n \) pairs of start and end points).

**Question:** Is there a set of three segments in the input that have at least one common intersection point?","**Algorithm Description and Time Complexity Analysis:**

Build an array that contains all the endpoints of the segments. Mark each point as either a start or an end point. First, sort the array so that the points are arranged from left to right. In case of a ""tie,"" i.e., if the points are equal, place the start points before the end points in the array. Next, scan the array, and at each step, keep track of the number of start points encountered minus the number of end points encountered, simply by subtracting 1 from a counter when passing an end point, and adding 1 when passing a start point. It is easy to see that the counter corresponds exactly to the number of segments that the current point lies within. It is also clear that if there are three segments that intersect at a common point, there is a point where this condition holds and is a segment endpoint. Therefore, we need to return 'yes' if and only if the counter reaches a value of at least 3 at any point during the scan. The sorting step takes \( O(n \log n) \), and the scan is linear, so the total time complexity is \( O(n \log n) \).

**Common Mistakes:**

1. Some solutions sorted the segments by start point and then checked if there were three adjacent segments in the array that intersected at the same point. This is incorrect because it is possible for three segments to intersect at the same point even if there is no triple with the start points aligned. For example, consider the following scenario:

% You can add an example here if necessary.

2. Some solutions checked only if there were three adjacent segments such that the first intersects with the second and the second intersects with the third, but did not check that all three intersect at the same point."
"**Data Structure Description:**

Describe a data structure that maintains a set of points in the plane, where each point \( p_i \) is represented as a pair of numbers \( (x_i, y_i) \). The data structure should support the following operations:

- \( \text{insert}(x, y) \), \( \text{delete}(x, y) \), \( \text{find}(x, y) \) in the worst-case time complexity of \( O(\log n) \).
- \( \text{CountPointsAtDistance}(d_1, d_2) \), which performs the following operation: Given two numbers \( d_1 \) and \( d_2 \), the function returns the number of points in the structure whose distance from the origin is greater than \( d_1 \) and smaller than \( d_2 \). Recall that the distance of a point \( (x, y) \) from the origin is \( \sqrt{x^2 + y^2} \).

The \( \text{CountPointsAtDistance}(d_1, d_2) \) operation should be executed with the lowest possible time complexity.","**Balanced Search Tree (2-3 or AVL, for example):**

The key in the tree is the distance \( d \). Under each leaf, there is a 2-3 tree that holds the corresponding keys \( (x, y) \) in lexicographical order.  
The main tree is structured as an ORDER STAT tree, where each node stores the number of keys in its subtree.

**Implementation of the CountPointsAtDistance Operation and its Time Complexity:**

1. Find the point that is the farthest from the origin such that its distance is less than \( d_2 \).
2. Compute its order statistic: \( a \).
3. Find the point that is the closest to the origin such that its distance is greater than \( d_1 \).
4. Compute its order statistic: \( b \).
5. Return \( a - b + 1 \).

Each of the above steps is performed in \( O(\log n) \) worst-case time. Therefore, the total time complexity of the operation is \( O(\log n) \)."
"**Algorithm Description for Solving the Problem:**

**Input:** A set \( \{a_1, a_2, \dots, a_n\} = A \) of \( n \) numbers.

**Goal:** The algorithm should construct a data structure \( DS \) in the best average-case time, with the following property: Given a collection \( S \) of \( m \) numbers, whose elements are taken from \( A \), we can use \( DS \) to sort the elements of \( S \) in \( O(\max(m, n)) \) worst-case time.  

Note that \( S \) may contain any element of \( A \) multiple times, so it is possible that \( m > n \).","**Description of the Data Structure \( DS \):**

A perfect hash of the elements according to their value. For each element, we also store its rank (statistical order).

**Description of Building the Structure:**

1. Sort the array in \( O(n \log n) \) time to find the rank of each element.
2. Insert the elements into the perfect hash table in \( O(n) \) on average.

**How to Sort Using the Data Structure:**

1. Find the statistical order (rank) of each element in \( S \).
2. Sort \( S \) according to the ranks using CountSort."
"**In this question, we will discuss the Quicksort algorithm. Throughout the question, we assume the input is an array of length \( n \), and we are interested only in arrays where all elements are distinct. As is known, each sorting algorithm has an associated binary tree that represents the comparisons the algorithm performs for all possible inputs.**

We are interested in the Quicksort algorithm where the pivot element is always chosen to be the first element of the segment of the array the algorithm is working on (rather than being chosen randomly), and we will focus on the comparison tree corresponding to this algorithm.

**(A) What is the smallest depth of a leaf in this comparison tree as a function of \( n \)?**","**Answer and Explanation:** \( O(n \log n) \), for the same reason that regular Quicksort requires \( O(n \log n) \) comparisons. In the best-case scenario, the array is divided into two parts of size \( O(n) \), and there will still be \( O(\log n) \) steps, with the number of comparisons at each step being \( O(n) \)."
"Describe an implementation of the DeleteMin operation in a heap (Heap) as we discussed in class, which performs \( O(\log(n)^{0.5}) \) comparisons in the worst-case scenario, or prove that such an implementation is impossible.","Such an implementation is impossible. Otherwise, it would be possible to sort \( n \) elements in the comparison model in \( o(n \log n) \) time, which contradicts what we proved in class. This can be done by building a heap in linear time (as we learned) and then calling DeleteMin \( n \) times, printing the element obtained each time."
